"ITL3.Region","average_pre_2009","average_post_2009"
"Norwich and East Norfolk",0.0214160839160839,0.00203743792181332
"Nottingham",0.00721054800164812,-0.00488153351589475
"Orkney Islands",0.0255591054313099,0.0253378378378378
"Oxfordshire",0.004422144740199,-0.00230528569076239
"Perth and Kinross and Stirling",0.00632744529396256,-0.00256893303647885
"Peterborough",0.0154686078252957,0.00331384015594542
"Plymouth",0.0107130900569133,0.00782375952233889
"Portsmouth",-0.010221465076661,-0.00650759219088937
"Powys",0.012448132780083,0.00946073793755913
"Redbridge and Waltham Forest",0.0113507377979569,0.012590376464722
"Sandwell",0.00597800095648015,-0.00496963003865268
"Scottish Borders",0.00485773768216516,0.00583941605839416
"Sefton",0.0212601468882876,-0.02000470698988
"Sheffield",0.00374947923899458,0.0129759262421035
"Shetland Islands",0.0166666666666667,-0.00285714285714286
"Shropshire CC",0.005,-0.00195799216803133
"Solihull",0.00411522633744856,0.0034607519270096
"Somerset",0.00520416333066453,0.00487483530961792
"South and West Derbyshire",0.00361180904522613,0.0084726867335563
"South Ayrshire",0.00775193798449612,-0.00167926112510495
"South Hampshire",-0.00435323383084577,0.00447063604958342
"South Lanarkshire",0.00704934541792548,0.0126726238830219
"South Nottinghamshire",0.00464756003098373,-0.00722976547346147
"South Teesside",0.0143839899937461,0.00450353849453142
"South West Wales",0.0120336943441637,0.00528750826173166
"Southampton",-0.00488599348534202,0.00861936278282284
"Southend-on-Sea",0.010894495412844,0.00104202848211184
"Staffordshire CC",0.00480181595949013,0.00200742137599611
"Stoke-on-Trent",0.00374414976599064,0.000205930807248764
"Suffolk",0.0172479512102154,-0.000799852334953547
"Sunderland",0.00100959111559818,0.00938271604938272
"Swansea",0.0126538987688098,0.00662393162393162
"Swindon",0.00619692448932752,0.0024265954865324
"Telford and Wrekin",0.00699572483482316,-0.0104452996151732
"Thurrock",0.00445885691122821,-0.00141003948110547
"Torbay",0.0102564102564103,-0.00233754090696587
"Tower Hamlets",0.00644468313641246,0.00340175953079179
"Tyneside",0.00148653375306051,0.0082699672531498
"Wakefield",0.0118152524167562,-0.00335980452046426
"Walsall",0.00764119601328904,0.015888778550149
"Wandsworth",0.0189086980010805,0.0211790738106528
"Warrington",0.00967022067939499,-0.005783212161269
"Warwickshire",0.00362916529198284,0.00654385091400526
"West Cumbria",0.00117474302496329,0
"West Essex",0.00770833333333333,-0.00276315789473684
"West Kent",-0.000161498708010336,0.00283226686247771
"West Lothian",0.00420168067226891,0.0072234762979684
"West Northamptonshire",0.00973393900064893,0.00623805211791931
"West Surrey",0.00248400919083401,0.00181237933887554
"West Sussex (North East)",0.00203389830508475,0.000544118980683776
"West Sussex (South West)",-0.000519210799584631,0.00133288903698767
"Westminster",0.0126053554113523,0.00495626822157434
"Wiltshire",0.00982919755075733,-0.000996214385335724
"Wirral",0.0147686248769281,-0.00805315079524864
"Wolverhampton",0.0156643356643357,0.0169358014966522
"Worcestershire",0.00531156885606944,0.00217618384401114
"York",0.00563296768455381,-0.000187195806813927
